name,university,summary,overview,duration,tuition_fees,rating
Bachelor of Business Administration,National University of Singapore,"The Bachelor of Business Administration (BBA) programme at the National University of Singapore (NUS) is a four-year undergraduate degree that provides students with a solid foundation in business fundamentals. The programme offers a broad-based curriculum that includes courses in accounting, finance, marketing, operations management, and organizational behavior, among others. Students can also choose from a wide range of electives to specialize in areas such as entrepreneurship, international business, and human resource management. Upon graduation, BBA students can pursue careers in various industries or continue their education with postgraduate studies.
","The Bachelor of Business Administration (BBA) programme at the National University of Singapore (NUS) has a comprehensive curriculum that includes core business courses and electives.

Year 1: In the first year, students take foundational courses in accounting, economics, business law, statistics, and calculus. They also take a course on business communication to develop their written and oral communication skills.

Year 2: In the second year, students take intermediate-level courses in accounting, finance, marketing, and organizational behavior. They also take courses on business analytics, operations management, and information systems.

Year 3: In the third year, students take advanced-level courses in their chosen areas of specialization. They can choose from a wide range of electives, such as entrepreneurship, international business, human resource management, and finance. Students also have the opportunity to participate in the NUS Overseas Colleges programme, which allows them to gain overseas experience in entrepreneurship and innovation.

Year 4: In the final year, students take courses on strategic management, business ethics, and leadership. They also undertake a capstone project, which involves working on a real-world business problem for a company or organization. Additionally, students can choose to do an internship or an independent study project.

Overall, the BBA programme at NUS provides students with a comprehensive education in business fundamentals and prepares them for successful careers in various industries.",4,38600,19
Bachelor of Business Administration in Accountancy,National University of Singapore,"The Bachelor of Business Administration in Accountancy program at the National University of Singapore is a highly-regarded degree program that prepares students for careers in accounting and finance. The program offers a strong foundation in accounting principles and practices, as well as a broad-based education in business management and economics.

Students in the program are exposed to a range of courses in accounting, finance, taxation, audit, and business law, as well as courses in general management, marketing, and operations. The curriculum is designed to equip graduates with the knowledge and skills needed to succeed in a variety of accounting and finance roles, including public accounting, corporate accounting, financial analysis, and consulting.","The Bachelor of Business Administration in Accountancy program at the National University of Singapore is a comprehensive degree program that covers a range of topics related to accounting, finance, and business management.

Year 1: The first year of the program is focused on building a strong foundation in accounting principles and practices, as well as business management and economics. Courses include Financial Accounting, Managerial Accounting, Microeconomics, Macroeconomics, and Organisational Behaviour.

Year 2: The second year of the program covers more advanced topics in accounting, finance, and business management. Courses include Cost and Management Accounting, Corporate Finance, Business Law, Taxation, and Statistics.

Year 3: In the third year of the program, students take a combination of required and elective courses to deepen their knowledge in their areas of interest. Required courses include Audit and Assurance, Accounting Information Systems, and Financial Reporting. Elective courses cover topics such as Financial Statement Analysis, Forensic Accounting, and International Accounting.

Year 4: In the final year of the program, students take advanced courses in accounting and finance, as well as complete a capstone project that integrates their knowledge and skills. Courses include Advanced Financial Accounting, Advanced Corporate Finance, and Investment Analysis. The capstone project involves working on a real-world business case and presenting recommendations to a panel of industry experts.",4,38600,19
Bachelor of Science in Mathematics,National University of Singapore,"The Bachelor of Science in Mathematics program at the National University of Singapore provides students with a rigorous foundation in mathematics, including calculus, linear algebra, and analysis. In addition, the program offers a range of elective courses in areas such as cryptography, optimization, and number theory, allowing students to tailor their degree to their interests and career goals. Graduates of the program are well-prepared for a variety of careers in fields such as finance, technology, and academia, as well as further study in mathematics or related fields.","The Bachelor of Science in Mathematics program at the National University of Singapore consists of a total of 120 modular credits (MCs) and is designed to be completed over four years of full-time study. The program includes a range of core and elective courses covering various areas of mathematics, as well as a research project or internship in the final year.

The core courses in the program include Calculus, Linear Algebra, Differential Equations, Real Analysis, Abstract Algebra, Topology, and Complex Analysis. The program also includes elective courses in areas such as Numerical Analysis, Differential Geometry, Combinatorics, Probability Theory, and Stochastic Processes.

In addition to the coursework, students are required to complete a research project or internship in their final year, allowing them to apply their mathematical knowledge to real-world problems. Students can choose to specialize in one of three areas of mathematics: Pure Mathematics, Applied Mathematics, or Mathematics with Computer Science.

Overall, the Bachelor of Science in Mathematics program at the National University of Singapore provides students with a strong foundation in mathematics and prepares them for a variety of careers in fields such as finance, technology, education, and research.",4,33000,19
Bachelor of Business Management (Finance),Singapore Management University,"The Bachelor of Business Management (Finance) degree programme at Singapore Management University is designed to equip students with a solid foundation in finance, accounting, economics, and management. The programme aims to develop students' analytical and critical thinking skills, as well as their ability to solve complex financial problems. Graduates of this programme will be well-prepared for careers in finance, investment banking, corporate finance, and related fields.

","The Bachelor of Business Management (Finance) degree programme at Singapore Management University covers a comprehensive range of topics in finance, accounting, economics, and management. In the first year of the programme, students are introduced to foundational courses such as Financial Accounting, Managerial Accounting, Principles of Microeconomics, Principles of Macroeconomics, Calculus, Business Statistics, Financial Markets, and Financial Management.

In the second year, students delve deeper into more specialized topics such as Corporate Finance, Investment Analysis and Portfolio Management, Financial Reporting and Analysis, Financial Modelling, Financial Econometrics, Derivatives and Risk Management, International Financial Management, and Financial Statement Analysis.

In the final year of the programme, students are exposed to advanced courses such as Advanced Corporate Finance, Mergers and Acquisitions, Fixed Income Securities and Credit Risk, Financial Statement Analysis and Valuation, Real Estate Finance, Behavioural Finance, Financial Intermediation and Markets, and Alternative Investments.

Moreover, students are required to take elective courses in areas such as entrepreneurship, marketing, and operations management, to gain a well-rounded education in business. The Capstone Project in the final year is a culmination of all the knowledge and skills students have gained throughout the programme, allowing them to apply their learning to real-world business problems. The Bachelor of Business Management (Finance) programme at Singapore Management University provides students with a comprehensive education and prepares them for successful careers in finance, investment banking, corporate finance, and related fields.",4,46000,939
Bachelor of Business Management (Marketing),Singapore Management University,"The Bachelor of Business Management (Marketing) degree programme at Singapore Management University is designed to provide students with a comprehensive understanding of marketing concepts, principles and practices. The curriculum is structured to equip students with the skills and knowledge needed to develop and execute effective marketing strategies in a rapidly changing business landscape.

The programme emphasizes the importance of practical experience, with students gaining hands-on experience through internships, case studies and industry projects. Upon completion of the programme, graduates will be well-prepared for a range of careers in marketing, including brand management, market research, advertising and digital marketing.","The Bachelor of Business Management (Marketing) programme at Singapore Management University is a comprehensive four-year undergraduate degree programme that equips students with a thorough understanding of marketing concepts, principles, and practices. The curriculum is designed to provide students with a solid foundation in business management, while also focusing on the specific skills and knowledge required to develop and execute effective marketing strategies in today's rapidly changing business environment.

In the first year, students will be introduced to fundamental concepts in marketing, financial accounting, business law, microeconomics, organisational behaviour, and writing and reasoning. In the second year, students will delve deeper into marketing research, consumer behaviour, managerial accounting, macroeconomics, operations management, and statistics and data analysis.

In the third year, students will focus on specific aspects of marketing, such as advertising and promotion, product and brand management, sales and distribution management, and service marketing, while also having the opportunity to choose elective courses that align with their interests and career goals.

In the final year, students will study advanced topics in marketing, including strategic marketing management, digital marketing, and marketing analytics, as well as select additional elective courses. The programme culminates with a capstone project, allowing students to apply the skills and knowledge they have gained to a real-world marketing problem.

Throughout the programme, students will also have the opportunity to gain practical experience through internships, case studies, and industry projects, and may choose to study abroad or participate in exchange programmes with partner universities. By the end of the programme, graduates will be well-prepared for a range of careers in marketing, including brand management, market research, advertising, and digital marketing.




",4,46000,939
Bachelor of Business Management (Organisational Behaviour and Human Resources),Singapore Management University,"The Bachelor of Business Management (Organisational Behaviour and Human Resources) degree programme offered by the Singapore Management University (SMU) focuses on the study of human behaviour in organizations and the management of human resources. It equips students with a strong foundation in business and management theories and practices, with a particular emphasis on people management.

Through a combination of classroom lectures, case studies, and practical experiences, students will develop critical thinking and analytical skills, as well as effective communication and leadership abilities. Graduates of the programme can expect to pursue careers in a variety of fields, including human resources, organizational consulting, and general management.","The Bachelor of Business Management (Organisational Behaviour and Human Resources) degree programme at Singapore Management University (SMU) is designed to provide students with a strong foundation in business and management theories and practices, with a focus on understanding human behaviour in organizations and managing human resources effectively.

The programme is structured to cover a range of core courses, such as Financial Accounting, Marketing Management, Operations Management, and Strategic Management, as well as specialized courses in Organisational Behaviour, Human Resource Management, and Employment Law. Some of the specific courses offered in the programme include:

Introduction to Organisational Behaviour
Managing and Leading People in Organizations
Employment Law in Singapore
Compensation Management
Talent Management and Development
Cross-Cultural Management
Negotiation and Conflict Resolution
Performance Management
Human Resource Information Systems

In addition to the coursework, the programme also incorporates experiential learning opportunities, such as internships and consulting projects, to provide students with hands-on experience in applying their knowledge and skills in real-world situations.

Overall, the Bachelor of Business Management (Organisational Behaviour and Human Resources) programme at SMU is designed to equip students with the knowledge, skills, and practical experience needed to succeed in a range of careers in human resources, organizational consulting, and general management.",4,46000,939
Bachelor of Laws,Singapore Management University,"The Bachelor of Laws program at SMU is designed to equip students with a comprehensive understanding of the legal system, covering topics such as legal theory, property law, and constitutional law. The program offers students the opportunity to take electives in areas such as corporate law and international law, which align with their career goals. Students will engage in interactive learning experiences, including seminars, moot courts, and legal clinics to develop critical thinking, analytical, communication, and problem-solving skills.","The BSc of Laws programme at SMU is a four-year undergraduate degree that offers a comprehensive legal education designed to prepare students for a variety of careers in the legal profession and beyond. The programme is divided into four years, each of which focuses on different aspects of legal education.

During the first year, students are introduced to the basics of legal research, legal writing, and the fundamentals of the law. Core subjects such as contracts and commercial law, torts and the law of negligence, criminal law and procedure, and legal ethics and professional responsibility are covered.

In the second year, students build upon the foundational knowledge acquired in the first year and delve deeper into more complex areas of the law, such as constitutional law and human rights, property law and equity, administrative law and judicial review, civil and criminal procedure, and legal theory and jurisprudence.

In the third year, students have the opportunity to select elective courses based on their interests and specializations. Elective courses include topics such as corporate law, intellectual property law, international law, family law, and environmental law. Additionally, students participate in either pro bono legal work or an internship to gain practical experience in the legal field.

In the final year, students continue to select elective courses that suit their interests and career goals. Electives may include alternative dispute resolution, law and technology, law and society, comparative law, and law and economics. Students also participate in a moot court competition and complete an independent research project.

Overall, the BSc of Laws programme at SMU provides students with a strong foundation in legal knowledge and critical thinking skills, as well as practical experience through internships, pro bono work, and moot court competitions, preparing them for a range of careers in the legal field and beyond.",4,50800,939
Bachelor of Accountancy,Singapore Management University,"The Bachelor of Accountancy degree programme offered by Singapore Management University (SMU) is designed to equip students with the skills and knowledge necessary to excel in the accounting profession. The curriculum includes core accounting courses, as well as classes in business, economics, and law, ensuring a well-rounded education. Students also have the opportunity to gain practical experience through internships and industry projects, giving them a competitive edge in the job market upon graduation.","The Bachelor of Accountancy degree programme offered by Singapore Management University (SMU) consists of a total of 40 courses, including 32 core courses and 8 elective courses. The programme is designed to provide students with a strong foundation in accounting, as well as a well-rounded education in business, economics, and law.

The core courses cover topics such as financial accounting, management accounting, auditing, taxation, and business law, while the elective courses allow students to specialize in areas such as finance, information systems, or analytics.

In addition to coursework, students are also required to complete two internships, giving them practical experience in the field of accounting. The first internship is typically completed after the second year of study, while the second internship takes place during the final year of the programme.

Overall, the Bachelor of Accountancy degree programme at SMU is designed to prepare students for careers in accounting and related fields, as well as for further studies in graduate or professional programmes.",4,46000,939
Bachelor of Science (Information Systems),Singapore Management University,"The Bachelor of Science (Information Systems) degree programme at Singapore Management University (SMU) prepares students to become leaders in the rapidly evolving world of information technology. The programme combines theoretical knowledge with hands-on practical experience to develop students' analytical and problem-solving skills. Graduates of this programme are equipped to pursue careers in a wide range of fields, including software development, cybersecurity, data analytics, and project management.","The Bachelor of Science (Information Systems) degree programme at Singapore Management University is a four-year undergraduate programme designed to provide students with a comprehensive understanding of information systems. The programme comprises a wide range of modules that cover topics such as business, technology, innovation, programming, software engineering, human-computer interaction, and IT governance.

In the first year, students are introduced to the fundamentals of information systems management, mathematics for information systems, financial accounting, and management accounting. They also learn basic programming skills that lay the foundation for advanced programming modules in subsequent years.

In the second year, students delve deeper into topics such as database systems, data structures and algorithms, systems analysis and design, management and organisational behaviour, and business statistics. These modules provide students with a solid understanding of the underlying principles of information systems and prepare them for more advanced topics in subsequent years.

In the third year, students take more advanced modules such as computer networks, software engineering, operating systems, human-computer interaction, and database system design and implementation. These modules enable students to develop a more in-depth understanding of information systems and prepare them for the challenges of the workplace.

In the final year, students focus on specialized modules such as business intelligence and analytics, IT governance and assurance, enterprise architecture and IT strategy, project management, and advanced information systems development. They also have the opportunity to choose from a wide range of elective courses to deepen their knowledge in specific areas of interest.

Throughout the programme, students are required to complete a compulsory internship that provides them with valuable industry experience. This real-world experience helps them to apply what they have learned in the classroom to practical problems and prepares them for a career in the rapidly evolving world of information technology.",4,46000,939
Bachelor of Science (Computer Science),Singapore Management University,"The Bachelor of Science in Computer Science program at Singapore Management University is designed to equip students with a strong foundation in the theoretical and practical aspects of computing. Students will learn key programming languages, algorithms, and data structures, as well as core concepts in computer systems, software engineering, and database management. Graduates will have the skills and knowledge to pursue a range of careers in the tech industry, from software development to data analysis and beyond.","The Bachelor of Science in Computer Science degree program at Singapore Management University is a comprehensive four-year curriculum that provides students with a strong foundation in both theoretical and practical aspects of computing. The program consists of 36 courses, spanning various topics, starting from introductory courses like Introduction to Computing, Calculus, Discrete Mathematics, and Physics in the first year to more specialized subjects like Computer Networks, Artificial Intelligence, and Operating Systems in the third year.

Throughout the program, students also take general education courses that help them develop critical thinking and writing skills, as well as ethics and law in computing, which helps them understand the impact of technology on society. In addition to the core curriculum, students have the opportunity to choose from a wide range of elective courses that allow them to specialize in areas such as machine learning, data analytics, and cybersecurity.

The program culminates in a capstone project that requires students to apply the knowledge and skills they have acquired throughout the program to solve a real-world problem. Upon completion of the program, graduates will be well-equipped to pursue careers in the tech industry, ranging from software development to data analysis and beyond. Overall, the Bachelor of Science in Computer Science program at Singapore Management University aims to provide students with the skills and knowledge they need to succeed in the rapidly evolving field of computer science.",4,46000,939
